Address,Name,Type,Value,Um,Default,Min,Max,Description,Count,Register Type,Read Only,Category,Read Group,Read Address,Read Offset,Interfaces,Sync Field
8192,DIL1,BOOL,True,flag,True,0,1,DIL1 digital input,1,holding,1,status,io_status,8960,0,DIL1,
8193,DIL2,BOOL,True,flag,True,0,1,DIL2 digital input,1,holding,1,status,io_status,8960,1,DIL2,
8194,DIL3,BOOL,True,flag,True,0,1,DIL3 digital input,1,holding,1,status,io_status,8960,2,DIL3,
8195,DIL4,BOOL,True,flag,True,0,1,DIL4 digital input,1,holding,1,status,io_status,8960,3,DIL4,
8196,DIL5,BOOL,True,flag,True,0,1,DIL5 digital input,1,holding,1,status,io_status,8960,4,DIL5,
8197,DIL6,BOOL,True,flag,True,0,1,DIL6 digital input,1,holding,1,status,io_status,8960,5,DIL6,
8198,DIL7,BOOL,True,flag,True,0,1,DIL7 digital input,1,holding,1,status,io_status,8960,6,DIL7,
8199,DIL8,BOOL,True,flag,True,0,1,DIL8 digital input,1,holding,1,status,io_status,8960,7,DIL8,
8200,DIL9,BOOL,True,flag,True,0,1,DIL9 digital input,1,holding,1,status,io_status,8960,8,DIL9,
8201,DIL10,BOOL,True,flag,True,0,1,DIL10 digital input,1,holding,1,status,io_status,8960,9,DIL10,
8202,DIL11,BOOL,True,flag,True,0,1,DIL11 digital input,1,holding,1,status,io_status,8960,10,DIL11,
8203,DIL12,BOOL,True,flag,True,0,1,DIL12 digital input,1,holding,1,status,io_status,8960,11,DIL12,
8336,AIL1,INT,222,digit,-32768,,,AIL1 analogue input,1,holding,1,analog,io_status,8960,12,AIL1,
8337,AIL2,INT,-32768,digit,-32768,,,AIL2 analogue input,1,holding,1,analog,io_status,8960,13,AIL2,
8338,AIL3,INT,-32768,digit,-32768,,,AIL3 analogue input,1,holding,1,analog,io_status,8960,14,AIL3,
8339,AIL4,INT,-32768,digit,-32768,,,AIL4 analogue input,1,holding,1,analog,io_status,8960,15,AIL4,
8340,AIL5,INT,-32768,digit,-32768,,,AIL5 analogue input,1,holding,1,analog,io_status,8960,16,AIL5,
8341,AIL6,INT,-32768,digit,-32768,,,AIL6 analogue input,1,holding,1,analog,io_status,8960,17,AIL6,
8342,AIL7,INT,-32768,digit,-32768,,,AIL7 analogue input,1,holding,1,analog,io_status,8960,18,AIL7,
8343,AIL8,INT,-32768,digit,-32768,,,AIL8 analogue input,1,holding,1,analog,io_status,8960,19,AIL8,
8344,AIL9,INT,-32768,digit,-32768,,,AIL9 analogue input,1,holding,1,analog,io_status,8960,20,AIL9,
8345,AIL10,INT,-32768,digit,-32768,,,AIL10 analogue input,1,holding,1,analog,io_status,8960,21,AIL10,
8346,AIL11,INT,-32768,digit,-32768,,,AIL11 analogue input,1,holding,1,analog,io_status,8960,22,AIL11,
8347,AIL12,INT,-32768,digit,-32768,,,AIL12 analogue input,1,holding,1,analog,io_status,8960,23,AIL12,
8448,AOL1,REAL,0.0,%,0.0,,,AOL1 analogue output,1,holding,0,analog,io_status,8960,24,AOL1,
8449,AOL2,REAL,0.0,%,0.0,,,AOL2 analogue output,1,holding,0,analog,io_status,8960,25,AOL2,
8450,AOL3,REAL,0.0,%,0.0,,,AOL3 analogue output,1,holding,0,analog,io_status,8960,26,AOL3,
8451,AOL4,REAL,0.0,%,0.0,,,AOL4 analogue output,1,holding,0,analog,io_status,8960,27,AOL4,
8452,AOL5,REAL,0.0,%,0.0,,,AOL5 analogue output,1,holding,0,analog,io_status,8960,28,AOL5,
8453,AOL6,REAL,0.0,%,0.0,,,AOL6 analogue output,1,holding,0,analog,io_status,8960,29,AOL6,
8528,DOL1,BOOL,True,flag,True,0,1,DOL1 digital output,1,holding,0,status,io_status,8960,30,DOL1,
8529,DOL2,BOOL,True,flag,True,0,1,DOL2 digital output,1,holding,0,status,io_status,8960,31,DOL2,
8530,DOL3,BOOL,True,flag,True,0,1,DOL3 digital output,1,holding,0,status,io_status,8960,32,DOL3,
8531,DOL4,BOOL,True,flag,True,0,1,DOL4 digital output,1,holding,0,status,io_status,8960,33,DOL4,
8532,DOL5,BOOL,True,flag,True,0,1,DOL5 digital output,1,holding,0,status,io_status,8960,34,DOL5,
8533,DOL6,BOOL,True,flag,True,0,1,DOL6 digital output,1,holding,0,status,io_status,8960,35,DOL6,
8534,DOL7,BOOL,True,flag,True,0,1,DOL7 digital output,1,holding,0,status,io_status,8960,36,DOL7,
8535,DOL8,BOOL,True,flag,True,0,1,DOL8 digital output,1,holding,0,status,io_status,8960,37,DOL8,
8536,DOL9,BOOL,True,flag,True,0,1,DOL9 digital output,1,holding,0,status,io_status,8960,38,DOL9,
8537,DOL10,BOOL,True,flag,True,0,1,DOL10 digital output,1,holding,0,status,io_status,8960,39,DOL10,
8538,DOL11,BOOL,True,flag,True,0,1,DOL11 digital output,1,holding,0,status,io_status,8960,40,DOL11,
8539,DOL12,BOOL,True,flag,True,0,1,DOL12 digital output,1,holding,0,status,io_status,8960,41,DOL12,
8640,LED1,enum,0=Off,num,0=Off,0,2,Led green,1,holding,0,configuration,,,,,
8641,LED2,enum,0=Off,num,0=Off,0,2,Led red,1,holding,0,configuration,,,,,
8642,LED3,enum,0=Off,num,0=Off,0,2,Led yellow,1,holding,0,configuration,,,,,
8716,Deep_PowerDown_keyword,UINT,0,num,0,0,65535,Put keyword 12345 to enable deep power down mode at power-off,1,holding,0,configuration,,,,,
8717,microSD_command,enum,0=No command,num,0=No command,0,2,microSD Command,1,holding,0,configuration,,,,,
8718,microSD_status,enum,0=Command completed,num,0=Command completed,0,255,Result of microSD command,1,holding,1,diagnostic,,,,,
8719,microSD_presence,BOOL,True,flag,True,0,1,microSD presence,1,holding,1,configuration,,,,,
8720,BACKLIGHT,enum,0=Off,num,0=Off,0,4,Display backlight,1,holding,0,configuration,,,,,
8736,sysClock_seconds,USINT,42,sec,0,0,59,Second value,1,holding,1,diagnostic,,,,,
8737,sysClock_minutes,USINT,36,min,0,0,59,Minute value,1,holding,1,diagnostic,,,,,
8738,sysClock_hours,USINT,2,hours,0,0,23,Hour value,1,holding,1,diagnostic,,,,,
8739,sysClock_dayweek,USINT,3,num,0,0,6,Day of week value,1,holding,1,diagnostic,,,,,
8740,sysClock_daymonth,USINT,15,num,1,1,31,Day of the month value,1,holding,1,diagnostic,,,,,
8741,sysClock_month,USINT,4,num,1,1,12,Month value,1,holding,1,diagnostic,,,,,
8742,sysClock_year,USINT,25,num,0,10,99,Year value,1,holding,1,diagnostic,,,,,
8743,sysClock_Error,BOOL,True,flag,True,0,1,RTC not inizialized,1,holding,1,diagnostic,,,,,
8744,sysClockSet_seconds,USINT,0,sec,0,0,59,Second value (write),1,holding,0,configuration,,,,,
8745,sysClockSet_minutes,USINT,0,min,0,0,59,Minute value (write),1,holding,0,configuration,,,,,
8746,sysClockSet_hours,USINT,0,hours,0,0,23,Hour value (write),1,holding,0,configuration,,,,,
8747,sysClockSet_dayweek,USINT,0,num,0,0,6,Day of week value (write),1,holding,0,configuration,,,,,
8748,sysClockSet_daymonth,USINT,19,num,1,1,31,Day of the month value (write),1,holding,0,configuration,,,,,
8749,sysClockSet_month,USINT,3,num,1,1,12,Month value (write),1,holding,0,configuration,,,,,
8750,sysClockSet_year,USINT,20,num,0,10,99,Year value (write),1,holding,0,configuration,,,,,
8751,sysClockSet_Upload,BOOL,True,flag,True,0,1,RTC upload,1,holding,0,configuration,,,,,
8752,FDI1_counter,UDINT,0,num,0,,,FDI1 input counter,2,holding,1,counter,io_status,8960,42,DIL1,
8754,FDI1_frequency,REAL,0.0,Hz,0.0,,,FDI1 input frequency,2,holding,0,interface_configuration,,,,DIL1,
8756,USB_Host_command,enum,0=No command,num,0=No command,0,218,USB-Host Command,2,holding,0,configuration,,,,,
8758,USB_Host_status,enum,0=Command completed,num,0=Command completed,0,255,Result of USB-Host command,2,holding,1,diagnostic,,,,,
